Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
o__Babeliales;f__GCA-2401785	0	0	0	0	48.46909463	0
o__Babeliales;f__RVW-14	139.0914559	285.6371309	429.6903136	48.49177195	5820.128211	82.7714941
o__Babeliales;f__UBA12409	20.6091364	0	70.25342522	0	7.774059521	0
o__Babeliales;f__Vermiphilaceae	23.37469918	9.83951101	3.217743318	0	0	0
o__Bacillales;f__Anoxybacillaceae	0	0	0	0	8.296735271	8.65155411
o__Bacillales;f__Bacillaceae	42.67903748	16.66192638	3.613516642	0	55.71427205	0
o__Bacillales;f__Bacillaceae_G	44.50674434	71.62811131	124.9265565	33.24463565	789.9543783	0
o__Bacillales_A;f__Planococcaceae	162.5104659	470.4216673	51.24757942	22.69860578	644.5824826	32.13169687
o__Bacillales_B;f__DSM-1321	0	0	60.06218832	43.42000911	0	0
o__Bacillales_B;f__DSM-18226	43.89195916	42.91187187	0	44.84611806	66.41522705	53.35923821
o__Bacillales_D;f__Alkalibacillaceae	18.63039469	6.803470895	3.209716812	0	46.24348768	17.88846105
o__Bacillales_D;f__Amphibacillaceae	413.6371474	269.5647677	108.1490426	67.94394055	675.9945135	164.9821635
o__Bacillales_D;f__Halobacillaceae	7.705368761	14.95349853	3.32909424	0	57.92728263	31.39483232
o__Bacillales_G;f__Sporolactobacillaceae	0	0	0	0	17.90812118	0
o__Bacillales_H;f__Bacillaceae_D	28.4516515	248.7728132	191.8037576	22.23541796	374.6889999	71.32737406
o__Bacteriovoracales;f__Bacteriovoracaceae	22.81478409	164.501294	77.13125189	41.70294583	618.8784311	14.02778324
o__Bacteroidales;f__4484-276	0	4.087169837	0	0	18.7293276	0
o__Bacteroidales;f__4572-128	9.597639754	15.29745356	6.944722705	24.41898511	42.34593568	0
o__Bacteroidales;f__Bacteroidaceae	8775.519751	13983.67893	4933.963663	2539.14484	49909.76055	4047.671879
o__Bacteroidales;f__CAIWKO01	4.17569339	0	0	0	0	0
o__Bacteroidales;f__Cfx3-03	4.632651499	9.530474836	0	0	0	0
o__Bacteroidales;f__Coprobacteraceae	0	0	0	0	5.768066605	0
o__Bacteroidales;f__DTGW01	0	64.46671819	0	0	442.5714873	15.56265056
o__Bacteroidales;f__Dysgonomonadaceae	703.5080213	1089.139926	325.4833063	252.8694356	1356.523192	938.7331145
o__Bacteroidales;f__F082	447.5873308	792.4521674	384.7302081	246.5994148	5218.227589	213.402654
o__Bacteroidales;f__FEN-979	0	10.76967758	0	0	15.9696276	0
o__Bacteroidales;f__GWA2-32-17	35.44019337	21.84564918	60.8411139	13.66252351	349.1768578	28.13776473
o__Bacteroidales;f__JAADGE01	4.16895163	6.342575034	0	0	0	0
o__Bacteroidales;f__JAAYUG01	0	0	6.917730229	7.885948798	0	0
o__Bacteroidales;f__JACABE01	0	0	0	10.54821089	21.30870317	7.257316051
o__Bacteroidales;f__Lentimicrobiaceae	41.933309	9.175465788	34.07225506	26.28998338	263.507798	13.69423106
o__Bacteroidales;f__Marinifilaceae	4.901890121	55.86915602	0	0	52.9314242	4.477873513
o__Bacteroidales;f__Marinilabiliaceae	83.7430669	80.96431262	55.70804281	66.04744773	135.3579471	82.11129535
o__Bacteroidales;f__ML635J-15	73.57649691	216.2300685	39.60193153	22.36380244	281.6155782	9.3842084
