Head	1	2	3	4	5	6	7	8	9	10	11	12
Pimascovirales;Iridoviridae	109.1383365	0	28.36292934	98.68685241	412.3171654	5018.034111	153.9780714	3678.717759	210.4371567	265.4050124	112.600594	34.96778178
Pimascovirales;Marseilleviridae	64.45770115	107.8913409	78.04787341	110.8292913	407.172929	174.2295229	1517.165722	5623.593419	2760.35692	1548.978665	314.2287141	15.01622379
Pimascovirales;NA	21.13139247	75.31660832	26.67393088	111.0517796	348.5846116	139.5959682	59.75238752	1067.119023	46.75173844	319.8334348	485.4104017	0
Priklausovirales;Lavidaviridae	37.24423108	188.5853564	129.2115077	966.0537965	1458.669569	1402.981506	1588.167471	2534.65193	1487.716156	428.301968	142.9971352	0
Rowavirales;Adenoviridae	0	0	0	0	17.66186242	136.1203458	51.1457896	14.34240569	0	21.96925421	92.59821365	0
Tubulavirales;Inoviridae	30.48803198	67.77416579	43.59591727	182.9001334	293.4020761	403.5115427	436.3000599	1119.195171	553.7732336	575.2864915	241.3297937	7.659652355
Tubulavirales;Paulinoviridae	0	0	0	10.79575384	11.26820511	0	0	0	0	0	0	0
Vinavirales;Corticoviridae	0	0	0	0	0	9.93064654	0	0	0	0	0	0
XNA;NA	1932.091552	4419.070317	3638.31844	7218.119061	20748.73075	21374.43121	13727.84688	14353.12295	11060.67024	9386.22677	6491.666607	698.4701186
XUnclassified	51427.01909	111716.0291	59845.04846	132314.6393	519645.5019	896590.4514	754333.5251	1266438.261	622846.8258	377157.6162	225283.515	19239.96032
