Head	1	2	3	4	5	6	7	8	9	10	11	12
o__Caenarcaniphilales;f__Caenarcanaceae	21.28976467	17.93620568	10.75118221	0	70.4900725	1758.210611	284.3048737	206.9684077	11.06024116	254.2762277	243.4293213	37.788277
o__Caenarcaniphilales;f__LMEP-6097	0	3.573022622	0	6.691874434	40.97327433	246.517554	329.0292764	443.0159549	84.02270204	99.10459921	64.21936484	0
o__Caldilineales;f__Caldilineaceae	0	0	0	0	0	0	10.42291451	1138.945727	635.445747	89.18845248	8.864486855	0
o__Campylobacterales;f__Sulfurimonadaceae	0	0	0	0	0	0	0	0	0	46.67276165	0	0
o__Capsulimonadales;f__	0	0	0	0	81.63933901	283.5957463	37.33273128	0	0	37.24434145	90.30479626	17.56579161
o__Caulobacterales;f__	0	0	0	0	0	0	0	0	4.241040408	4.217587268	0	0
o__Caulobacterales;f__Caulobacteraceae	19.36662686	7.597812573	25.67257279	31.3333852	243.3296456	1597.538547	730.8115135	499.4370396	337.9233586	290.4213094	316.4702189	11.72008482
o__Caulobacterales;f__Hyphomonadaceae	3.743909977	0	0	6.69112596	0	156.3676451	277.5039129	5548.28815	1956.079164	314.9118552	142.1550081	0
o__Chitinophagales;f__	0	4.966420564	0	0	286.7153783	388.5020939	153.6400554	271.5883689	190.7373336	307.2524113	18.24892317	25.8187355
o__Chitinophagales;f__Chitinophagaceae	316.5240382	496.48414	341.7075021	409.7118198	2416.538294	4533.660118	3328.94912	4185.286734	2852.134206	2148.600606	1457.085653	52.46230169
o__Chitinophagales;f__LD1	0	29.11729177	0	0	45.75401983	142.9307545	120.155593	133.3325349	331.3136641	478.9626144	150.6164358	0
o__Chitinophagales;f__Saprospiraceae	407.6285926	573.6114308	142.0037911	166.1031941	1125.084678	1752.238774	1488.938056	2750.375063	1177.274723	581.1706474	533.2992351	45.85649669
o__Chitinophagales;f__UBA10324	0	0	0	0	0	6.212226664	18.15067717	102.7248748	67.00834591	0	0	0
o__Chitinophagales;f__UBA8649	35.01959249	997.0205272	22.5478533	221.8474369	2473.555605	3648.160887	994.4650403	118.2933229	362.5176252	1557.657542	1070.552437	252.3905585
o__Chloroflexales;f__Roseiflexaceae	0	0	0	0	16.76633525	0	20.51459226	133.6666325	0	0	0	0
o__Chthoniobacterales;f__	0	0	0	0	4.432005859	22.23504141	365.5873279	1581.818732	1047.832361	42.2722632	30.80172561	0
o__Chthoniobacterales;f__Chthoniobacteraceae	0	72.87445255	31.02529096	30.72744096	578.341893	1999.42295	7669.794075	5081.781954	4156.807601	5036.557135	1155.38744	10.10987174
o__Chthoniobacterales;f__Terrimicrobiaceae	115.703016	74.86358051	14.21210173	616.334839	222.7091639	558.8527798	1421.32729	3959.042576	1797.564843	1781.503901	1567.835158	87.65094597
o__Chthoniobacterales;f__UBA6821	0	0	0	0	0	1826.53234	1150.971299	299.3665109	8.551252307	94.86981696	29.08395773	0
o__Corynebacteriales;f__Corynebacteriaceae	0	0	0	0	4.977060923	161.030704	124.8164734	20.04250315	73.33830255	84.43547947	83.91280259	0
o__Coxiellales;f__Coxiellaceae	0	7.524298619	0	15.24753849	0	12.85335036	11.57126885	25.1676291	89.80047337	69.69092313	14.78453313	0
o__Cyanobacteriales;f__	0	0	0	0	0	248.3075313	481.1731526	120.3761315	197.7358646	387.3953148	12.76161213	0
o__Cyanobacteriales;f__Cyanobacteriaceae	0	0	0	0	11.25616937	0	0	7.765427893	5.852868768	316.1593582	8.394651865	0
o__Cyanobacteriales;f__Geitlerinemaceae	0	0	0	0	0	0	0	46.71165136	55.6866206	247.1916827	0	0
o__Cyanobacteriales;f__Microcystaceae	16.30037632	0	0	0	46.6870663	2615.440392	4697.694367	2279.470906	1843.982553	3820.564757	1475.913124	0
o__Cyanobacteriales;f__Nostocaceae	781.2107719	432.1477238	114.2078931	490.1162387	6820.235404	72352.26079	30388.33564	9188.372137	3482.99963	4504.490669	6048.381255	661.9936052
o__Cyanobacteriales;f__Phormidiaceae	4.26327381	0	0	0	0	0	553.1169114	2488.682692	4614.481198	5103.471978	4710.612504	10.02352675
o__Cytophagales;f__	0	0	0	0	0	0	0	0	10.66078109	0	0	0
o__Cytophagales;f__Amoebophilaceae	0	0	0	0	0	0	0	0	0	2.382226112	14.92063441	0
o__Cytophagales;f__Bernardetiaceae	0	0	0	0	0	35.37055469	0	0	0	0	0	0
o__Cytophagales;f__Catalimonadaceae	0	0	0	0	0	0	0	16.61741679	9.37180625	3.399500648	0	0
o__Cytophagales;f__Cyclobacteriaceae	0	18.57024117	0	52.04099056	118.1097366	386.9101752	456.6343822	103.06736	100.1817267	411.9827773	228.7436346	0
o__Cytophagales;f__Spirosomaceae	3.93354807	12.61440075	8.655121465	51.25210479	705.6328822	626.0767574	224.855086	102.6261214	112.466417	146.7856573	30.09879839	0
o__Elainellales;f__Elainellaceae	0	0	0	0	0	0	0	0	3.245351987	0	0	0
o__Elsterales;f__Elsteraceae	0	0	0	0	0	164.1363365	7.549028584	0	0	3.822987408	45.23381832	13.81229066
o__Fimbriimonadales;f__Fimbriimonadaceae	0	0	0	0	0	19.49706339	218.6277618	332.069283	217.1581414	3.652501173	0	0
o__Flavobacteriales;f__	0	41.71836859	38.5210735	41.02121445	374.8506534	720.9159376	339.8005709	267.0685944	144.649096	280.0152769	283.8040853	4.023095008
o__Flavobacteriales;f__Crocinitomicaceae	49.39006749	405.010844	147.8548032	212.9118004	2543.660242	4956.068357	1919.369028	2595.159418	1208.246812	2510.007375	863.1362835	75.49388075
o__Flavobacteriales;f__Cryomorphaceae	0	0	0	12.74726115	5.084657719	0	0	0	0	0	0	0
o__Flavobacteriales;f__Flavobacteriaceae	407.3899978	648.2455912	204.7363462	737.1967282	3474.83497	7651.812777	4281.827298	6392.91646	4627.615898	2932.991606	2026.476983	197.9317238
o__Flavobacteriales;f__GCA-002722245	0	5.55818027	0	0	8.542511776	16.53441761	27.20373165	35.58283095	0	8.06241117	0	0
o__Flavobacteriales;f__PHOS-HE28	0	0	0	0	39.14460285	357.0259263	539.8850414	933.9920163	374.5263288	184.4375604	125.3391079	31.48158971
o__Flavobacteriales;f__Schleiferiaceae	27.99470532	19.01818824	3.500323338	27.9827156	210.2652002	120.7921079	28.45984603	33.09130503	126.6856888	140.3995639	19.50859313	7.874373451
o__Flavobacteriales;f__UA16	7.504896783	22.69201996	14.38214128	20.62322334	626.8965237	598.6953101	186.1376256	678.0868113	774.7610088	577.1080453	343.6216605	8.276825598
o__Flavobacteriales;f__UBA10329	0	0	0	0	0	3.898955652	0	0	0	6.11952673	17.40093464	0
o__Flavobacteriales;f__UBA2798	8.220329313	5.177593225	0	0	0	15.48793303	7.953219043	34.01157916	20.14168414	16.53227268	9.565391952	0
o__Francisellales;f__	0	0	0	0	0	0	0	0	2.78011108	0	0	0
o__Francisellales;f__Francisellaceae	0	0	0	0	0	0	0	0	55.66865577	25.13119564	0	0
o__Ga0077536;f__Ga0077536	0	0	0	0	67.63491385	62.94560118	178.3988835	98.50256201	22.45300603	20.59449559	28.42070634	0
o__Ga0077560;f__Ga0077560	0	0	0	0	0	0	0	0	8.180744663	10.08714443	3.215366801	0
o__Gaiellales;f__F1-60-MAGs149	9.66884307	0	0	22.14889594	73.69525373	16.12419639	50.49195441	116.9954222	80.79910042	68.15031311	22.24142418	0
o__Gemmatales;f__	0	0	4.965636242	18.23354323	0	0	4.023625158	18.30319409	44.83925544	61.80646115	38.93810221	0
o__Gemmatales;f__Gemmataceae	701.6370519	1071.791817	1098.183337	1312.013626	796.5592775	518.7210435	215.7178161	356.4564457	845.4763739	805.9229463	861.5624207	109.0842215
o__Gemmatimonadales;f__Gemmatimonadaceae	0	80.60196727	36.75375007	157.0952965	88.16582308	302.1889002	360.5653442	986.1793037	417.2083905	271.3905442	3.69348853	0
o__Holosporales;f__	0	0	0	0	0	0	0	15.1371114	19.19367824	47.49283974	35.35975471	0
o__Hydrogenedentiales;f__	0	0	0	0	0	0	0	0	53.80497249	8.407223058	0	0
o__IMCC26256;f__PALSA-555	0	0	0	0	0	0	0	13.32646754	21.75047081	0	0	0
o__Isosphaerales;f__	0	0	0	0	0	0	0	3.615557072	0	3.483142647	0	0
o__Isosphaerales;f__Isosphaeraceae	0	11.39732456	17.00928741	29.33648049	5.976417527	0	0	4.059102894	0	2.31609735	50.60286119	7.660053448
o__J057;f__	0	0	0	0	0	0	9.823343645	20.84325394	0	0	0	0
o__Kapabacteriales;f__	43.87843255	27.67132236	14.70405119	0	139.0264015	508.3353144	513.3300033	982.7847465	651.0770349	248.825228	153.964454	0
o__Kapabacteriales;f__Kapabacteriaceae	0	21.17160334	0	21.57760828	98.62506401	89.6022598	634.389531	1436.808506	905.64938	139.9166263	16.06848697	0
o__Kapabacteriales;f__NICIL-2	0	0	0	0	0	0	0	7.243838511	0	0	0	0
o__Kapabacteriales;f__UBA4661	0	0	0	0	0	0	0	12.91525598	0	0	0	0
o__Kapabacteriales;f__UBA961	389.6759062	669.3547491	82.92155544	52.65590119	4251.936474	4532.718869	1803.39125	1647.647153	501.6617513	741.6008493	996.2679854	82.7160435
o__Kiritimatiellales;f__Pontiellaceae	0	0	0	0	0	0	23.33973596	0	0	0	0	0
o__MC1;f__	0	0	0	0	0	41.36718147	28.37566775	0	0	0	0	0
o__Magasanikbacterales;f__2-02-FULL-50-9b	0	0	0	0	0	0	0	4.611221158	0	0	0	0
o__Methylacidiphilales;f__UBA3015	0	0	4.682441826	0	40.95587317	7.719375318	58.29992193	158.2464656	122.7036532	61.33280228	0	0
o__Methylococcales;f__	0	0	0	0	0	0	0	0	0	0	34.66337439	0
o__Methylococcales;f__Methylococcaceae	113.3781586	66.77411922	0	0	9.770162931	10.06167612	13.02877778	434.7626519	949.8157258	3692.830035	2500.213645	48.37519585
o__Methylococcales;f__Methylomonadaceae	47.83540506	214.9855739	25.53864308	23.12723939	194.5245847	499.672409	390.5685534	173.9977122	155.5435981	1292.757188	2061.941991	12.0267607
o__Micavibrionales;f__Micavibrionaceae	0	0	0	0	0	0	6.974092836	5.090991254	0	0	0	0
o__Microtrichales;f__	0	7.074833831	2.996383653	18.33285715	39.06763028	121.5751601	743.5157762	497.7604953	270.9627487	82.10570697	4.016788078	3.52282089
o__Microtrichales;f__Ilumatobacteraceae	0	0	0	0	0	0	0	7.44137016	53.71294889	27.97613578	70.30627692	53.54640502
o__Microtrichales;f__Microtrichaceae	0	0	0	0	0	0	4.605525156	0	0	0	0	0
o__Mycobacteriales;f__Mycobacteriaceae	22.22626136	43.52049123	51.67359936	37.75051252	235.2865277	559.843893	255.1280184	253.8652245	104.2656147	372.8135442	194.7589225	8.812601566
o__Myxococcales;f__Myxococcaceae	0	0	0	0	0	0	105.5286184	138.7191137	69.60992294	16.61132669	0	0
o__NS11-12g;f__	0	14.37980923	7.509072657	27.72852716	44.81196757	75.7203645	7.788500328	21.14662705	92.45610132	104.3991081	93.50849161	18.83842211
o__NS11-12g;f__UBA9320	0	0	0	30.28734279	8.854589162	0	0	0	0	0	0	0
o__NS11-12g;f__UBA955	0	32.47915422	19.40733892	13.35051424	278.5228885	295.4275366	430.4071838	242.2262953	171.8177133	391.8990482	115.5963432	12.02224688
o__NS11-12g;f__UKL13-3	641.2452328	731.3137844	613.294671	108.7041597	937.5942994	2914.612643	983.6527535	589.7067965	338.5658894	1671.456899	3514.447108	154.6696177
o__Nannocystales;f__Nannocystaceae	0	0	0	0	0	0	0	62.28686181	0	0	0	0
o__Nanopelagicales;f__	0	0	0	0	5.304341153	9.241777063	42.22627507	52.13521937	0	0	0	14.13060945
o__Nanopelagicales;f__AcAMD-2	0	0	0	5.243072363	0	0	0	0	0	0	0	0
o__Nanopelagicales;f__AcAMD-5	26.90148142	45.82018437	36.37462239	49.84149626	219.6340477	617.3527346	398.3602506	206.346571	117.5459888	217.6362373	171.6477405	33.10818045
