2000/1/24	2000-01-24	281940
2000/2/28	2000-02-28	224900
2000/3/13	2000-03-13	258920
2000/3/29	2000-03-29	396000
2000/4/10	2000-04-10	873518
2000/4/25	2000-04-25	958804
2000/5/09	2000-05-09	1349240
2000/5/22	2000-05-22	1047823
2000/6/06	2000-06-06	792017
2000/6/19	2000-06-19	604512
2000/7/03	2000-07-03	969821
2000/7/17	2000-07-17	578878
2000/7/31	2000-07-31	688276
2000/8/16	2000-08-16	625240
2000/8/28	2000-08-28	324600
2000/9/25	2000-09-25	929500
2000/10/24	2000-10-24	1218440
2000/11/28	2000-11-28	617580
2001/1/17	2001-01-17	240100
2001/3/07	2001-03-07	126400
2001/4/10	2001-04-10	137960
2001/4/23	2001-04-23	519780
2001/5/07	2001-05-07	657280
2001/5/21	2001-05-21	551700
2001/6/04	2001-06-04	571120
2001/6/18	2001-06-18	584000
2001/7/02	2001-07-02	441360
2001/7/16	2001-07-16	507340
2001/7/30	2001-07-30	444680
2001/8/13	2001-08-13	401160
2001/8/27	2001-08-27	604340
2001/9/12	2001-09-12	705720
2001/9/26	2001-09-26	359440
2001/10/09	2001-10-09	769360
2001/10/22	2001-10-22	653720
2001/11/06	2001-11-06	997200
2001/11/26	2001-11-26	531860
2002/3/28	2002-03-28	358520
2002/4/08	2002-04-08	362620
2002/4/24	2002-04-24	267760
2002/5/06	2002-05-06	732440
2002/5/20	2002-05-20	409040
2002/6/03	2002-06-03	639140
2002/6/18	2002-06-18	404460
2002/7/01	2002-07-01	529100
2002/7/15	2002-07-15	133940
2002/7/26	2002-07-26	189660
2002/8/12	2002-08-12	173260
2002/8/26	2002-08-26	68860
2002/9/23	2002-09-23	212380
2002/10/21	2002-10-21	179520
2002/11/18	2002-11-18	88060
2003/1/21	2003-01-21	29880
2003/4/03	2003-04-03	102620
2003/4/14	2003-04-14	78660
2003/4/28	2003-04-28	227280
2003/5/27	2003-05-27	239900
2003/6/09	2003-06-09	323180
2003/6/23	2003-06-23	319800
2003/7/07	2003-07-07	295780
2003/7/21	2003-07-21	197780
2003/8/04	2003-08-04	160040
2003/8/18	2003-08-18	115380
2003/9/02	2003-09-02	72060
2003/9/29	2003-09-29	179280
2003/10/27	2003-10-27	98120
2003/11/25	2003-11-25	114680
2004/2/03	2004-02-03	28880
2004/3/29	2004-03-29	102700
2004/4/12	2004-04-12	169480
2004/4/28	2004-04-28	407700
2004/5/10	2004-05-10	215620
2004/5/24	2004-05-24	249560
2004/6/07	2004-06-07	278120
2004/6/21	2004-06-21	102100
2004/7/06	2004-07-06	181080
2004/7/19	2004-07-19	101000
2004/8/03	2004-08-03	97440
2004/8/16	2004-08-16	149760
2004/9/07	2004-09-07	156180
2004/10/05	2004-10-05	126820
2004/11/03	2004-11-03	113180
2005/1/31	2005-01-31	32520
2005/4/15	2005-04-15	314300
2005/4/25	2005-04-25	502800
2005/5/09	2005-05-09	1020020
2005/5/23	2005-05-23	792040
2005/6/06	2005-06-06	885260
2005/6/20	2005-06-20	783880
2005/7/05	2005-07-05	543880
2005/7/18	2005-07-18	327180
2005/8/01	2005-08-01	322140
2005/8/15	2005-08-15	87820
2005/8/29	2005-08-29	504220
2005/9/26	2005-09-26	252700
2005/11/02	2005-11-02	432820
2005/11/30	2005-11-30	556580
2006/3/06	2006-03-06	135620
2006/5/02	2006-05-02	971080
2006/11/27	2006-11-27	308560
2007/1/03	2007-01-03	167172
2007/2/19	2007-02-19	98322
2007/4/02	2007-04-02	141472
2007/4/16	2007-04-16	172596
2007/4/30	2007-04-30	581683
2007/5/14	2007-05-14	684982
2007/6/11	2007-06-11	475107
2007/6/25	2007-06-25	182274
2007/7/09	2007-07-09	195938
2007/7/23	2007-07-23	90085
2007/8/06	2007-08-06	132983
2007/8/20	2007-08-20	101389
2007/9/04	2007-09-04	55410
2007/10/01	2007-10-01	87948
2007/10/29	2007-10-29	52815
2007/11/26	2007-11-26	99029
2008/2/13	2008-02-13	112470
2008/4/14	2008-04-14	126618
2008/4/28	2008-04-28	244037
2008/5/12	2008-05-12	395647
2008/5/28	2008-05-28	401306
2008/6/09	2008-06-09	461197
2008/6/23	2008-06-23	144301
2008/7/07	2008-07-07	359336
2008/7/21	2008-07-21	282513
2008/8/04	2008-08-04	256534
2008/8/18	2008-08-18	385759
2008/9/05	2008-09-05	706054
2008/9/27	2008-09-27	529116
