Head	K00390	K00472	K00558	K01711	K01784	K03272	K07260	K09882	K10026
Algavirales;Phycodnaviridae	0.000	0.026	0.009	0.055	0.013	0.002	0.003	0.000	0.000
Caudovirales;Ackermannviridae	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.004	0.000
Caudovirales;Autographiviridae	0.008	0.004	0.005	0.000	0.004	0.000	0.041	0.010	0.002
Caudovirales;Demerecviridae	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Caudovirales;Herelleviridae	0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.019	0.003
Caudovirales;Myoviridae	0.041	0.210	0.063	0.138	0.232	0.267	0.112	0.257	0.340
Caudovirales;NA	0.551	0.365	0.463	0.445	0.375	0.402	0.556	0.376	0.191
Caudovirales;Podoviridae	0.028	0.000	0.027	0.007	0.003	0.000	0.000	0.004	0.000
Caudovirales;Rountreeviridae	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000
Caudovirales;Schitoviridae	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000
Caudovirales;Siphoviridae	0.070	0.009	0.096	0.006	0.010	0.004	0.071	0.032	0.032
Imitervirales;Mimiviridae	0.000	0.004	0.004	0.013	0.007	0.009	0.000	0.001	0.002
Ligamenvirales;Lipothrixviridae	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000
UNA;NA	0.000	0.009	0.004	0.029	0.005	0.002	0.003	0.003	0.147
Petitvirales;Microviridae	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Pimascovirales;Iridoviridae	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Pimascovirales;Marseilleviridae	0.000	0.000	0.001	0.004	0.002	0.000	0.002	0.001	0.002
Unclassified	0.300	0.370	0.323	0.287	0.333	0.314	0.212	0.290	0.282
